gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Male,20,6,38,13,91,1,8,4,1,A
Male,2,1,1,3,28,1,6,5,1,B
Male,8,7,5,1,53,2,4,4,0,B
Male,9,4,9,10,40,2,3,3,1,B
Male,2,4,8,2,25,1,6,4,0,B
Male,0,1,11,7,29,1,3,3,1,B
Female,12,2,42,19,62,1,5,3,1,A
Female,32,2,27,14,92,1,8,5,0,A
Male,7,2,14,12,33,1,11,4,1,A
Female,22,0,6,9,26,1,6,3,1,B
Female,7,1,5,8,35,2,5,5,2,A
Male,10,0,14,2,37,0,2,2,0,B
Male,11,3,20,8,69,1,5,4,1,A
Male,1,0,0,3,22,1,5,5,1,B
Male,12,1,13,11,64,1,4,3,1,A
Male,6,0,11,7,42,1,4,3,1,A
Male,3,0,5,9,28,3,8,4,1,A
Female,11,0,16,21,56,2,8,5,2,B
Male,6,5,5,6,20,1,8,1,1,B
Male,8,0,5,4,37,2,7,4,2,A
Male,12,1,22,3,59,1,6,3,1,A
Male,8,8,44,12,82,2,6,4,1,A
Male,1,0,0,3,28,1,7,5,1,A
Male,4,5,14,13,44,2,6,4,1,A
Male,6,4,4,11,48,2,5,5,1,A
Female,33,0,8,11,164,1,9,5,1,B
Male,9,1,37,15,57,1,9,6,1,B
Male,6,1,4,9,38,2,3,3,2,B
Male,9,0,12,13,55,1,5,5,1,B
Male,3,0,1,0,30,0,5,4,0,B
Female,1,3,4,9,34,1,13,4,1,B
Male,9,0,4,4,29,2,8,5,1,B
Male,15,9,11,7,45,3,5,5,1,A
Male,6,3,21,34,49,1,4,3,1,A
Male,7,2,12,7,37,1,4,4,1,B
Male,8,0,2,4,27,1,5,4,1,B
Male,8,0,8,4,34,1,9,4,1,B
Male,7,0,10,9,47,2,6,5,2,A
Male,15,14,35,11,97,1,7,5,1,B
Male,6,2,10,6,20,1,0,0,1,A
Male,23,34,82,35,99,4,6,5,2,A
Female,14,2,17,11,74,1,5,4,1,A
Male,8,19,31,15,70,1,20,5,1,B
Male,13,1,5,5,34,1,5,5,1,A
Female,15,3,31,12,70,1,8,3,1,A
Female,3,0,8,20,33,2,8,2,2,B
Male,12,0,4,5,26,2,3,3,1,B
Male,12,3,6,5,44,1,5,5,1,B
Male,6,2,12,7,43,1,8,5,1,A
Male,3,2,12,11,24,2,2,2,2,B
Male,29,3,44,32,120,1,13,5,1,A
Female,1,0,5,1,19,1,7,5,0,A
Male,15,0,2,0,38,0,7,4,0,A
Male,4,0,2,2,27,0,2,2,0,A
Male,11,4,17,19,37,2,5,5,2,B
Male,7,3,6,5,54,1,7,5,1,B
Male,17,3,4,1,34,0,7,5,0,B
Male,12,1,10,14,48,3,4,4,1,A
Male,3,1,4,7,24,1,7,5,1,A
Male,1,0,0,0,4,0,2,1,0,C
Female,1,0,1,4,25,1,3,3,1,A
Male,7,3,14,11,47,3,6,5,3,B
Male,15,4,20,13,65,2,8,2,1,A
Male,2,0,1,1,16,1,9,4,1,A
Male,14,0,7,3,59,1,4,4,1,A
Male,11,4,41,22,67,2,10,4,1,B
Female,10,5,28,28,59,4,9,5,3,A
Male,0,0,0,5,3,1,0,0,1,B
Male,9,0,31,4,48,1,5,4,0,A
Male,9,0,7,1,34,1,5,4,0,B
Female,10,1,15,20,68,2,4,4,1,A
Male,12,0,13,5,82,1,5,4,1,A
Male,6,0,8,12,45,2,5,5,1,A
Male,7,1,7,3,22,1,1,1,1,C
Male,10,12,44,18,81,3,7,5,1,A
Male,10,3,13,5,33,1,5,5,1,B
Female,9,0,9,7,36,1,5,4,1,B
Male,8,0,0,0,23,0,5,5,0,A
Male,1,1,3,0,15,1,7,5,0,B
Male,2,2,25,18,57,2,4,3,2,A
Female,2,2,6,3,30,1,6,5,0,A
Male,13,1,19,15,52,3,4,4,3,B
Male,1,0,6,1,36,0,6,5,0,A
Male,7,0,11,3,44,1,5,3,1,B
Female,15,1,17,8,54,2,3,3,1,B
Male,10,0,17,11,55,1,5,5,1,A
Male,3,2,11,3,23,1,5,2,1,B
Male,8,4,26,18,54,1,6,5,1,A
Male,8,0,0,4,18,1,3,3,1,A
Male,7,4,12,13,32,1,8,5,1,B
Male,5,1,11,14,41,1,3,3,1,A
Male,22,0,51,27,88,1,8,4,1,A
Male,15,1,10,2,59,1,5,5,0,B
Male,10,1,19,10,64,1,4,4,0,B
Male,5,5,28,16,63,2,5,5,2,A
Male,5,0,4,4,31,1,3,3,1,A
Male,6,0,6,9,34,1,7,3,1,A
Female,4,0,7,4,60,1,6,5,1,B
Female,9,0,6,11,32,1,3,3,1,B
Male,1,0,1,4,29,1,5,4,1,B
Male,8,1,21,18,68,2,7,4,2,A
Male,21,2,34,15,90,1,7,5,1,A
Male,1,0,1,2,15,0,2,2,0,C
Male,6,3,11,5,34,1,3,3,1,B
Male,4,1,6,3,19,1,2,2,1,B
Male,5,2,7,5,43,2,5,4,1,B
Male,9,0,7,4,33,1,4,3,1,A
Male,19,0,5,3,42,1,4,1,1,A
Male,0,0,2,5,14,1,4,3,1,C
Male,6,3,3,3,21,1,5,4,1,B
Female,7,1,17,9,44,1,4,3,1,A
Male,1,2,0,7,29,0,5,5,0,A
Male,17,1,14,9,71,1,4,4,1,A
Male,12,2,5,10,37,1,4,4,1,B
Male,14,2,21,5,64,1,12,4,0,A
Male,10,0,10,15,57,1,5,5,1,B
Male,13,3,11,5,38,1,4,1,1,A
Male,0,8,2,4,17,2,3,3,2,C
Male,11,10,22,26,76,1,13,4,1,A
Male,4,1,2,2,19,1,2,2,1,B
Male,12,3,12,14,38,1,5,4,1,B
Male,4,1,6,10,32,2,8,3,2,C
Male,4,1,5,10,18,3,3,1,3,B
Male,9,3,4,6,38,1,5,1,1,B
Male,2,0,2,5,21,1,5,5,1,A
Female,13,5,25,12,102,1,9,5,1,A
Male,9,0,12,6,40,1,4,4,1,A
Male,0,0,1,2,13,1,8,4,1,C
Male,6,5,7,1,19,0,4,1,0,A
Male,32,7,39,21,71,1,3,3,1,B
Male,6,0,7,6,26,1,3,3,1,B
Male,6,0,1,6,14,1,4,4,1,B
Male,5,0,1,2,23,1,3,3,1,B
Male,11,0,5,4,30,1,5,5,1,A
Male,4,2,3,7,31,1,3,3,1,A
Male,4,1,4,7,24,1,3,3,1,B
Male,7,2,9,12,15,1,1,1,1,B
Male,12,1,6,5,47,2,4,4,1,A
Male,9,4,17,17,41,2,4,3,1,A
Male,1,1,6,6,15,1,6,5,0,A
Male,0,0,4,3,23,1,5,4,1,B
Female,6,1,19,8,55,1,7,5,1,A
Male,3,3,10,9,23,2,1,1,2,A
Female,6,3,4,4,43,2,4,4,2,B
Male,9,1,4,12,29,2,6,5,2,A
Female,13,2,25,17,58,3,6,5,3,A
Male,12,6,18,15,36,2,10,5,2,B
Male,10,3,15,7,37,1,7,3,1,A
Male,6,1,16,6,40,1,3,3,1,A
Male,14,3,18,6,58,1,6,5,1,A
Male,10,0,33,16,82,2,6,4,1,B
Male,3,0,5,5,18,1,3,3,1,B
Male,13,10,41,45,73,4,4,4,3,A
Male,15,3,11,6,37,1,4,4,1,B
Female,16,0,25,11,45,2,4,4,1,B
Female,4,0,6,6,33,1,5,4,1,A
Male,13,4,49,34,81,5,6,4,4,A
Male,1,2,4,3,27,1,5,4,0,B
Male,5,0,1,3,21,1,5,5,1,A
Male,6,1,16,9,32,1,5,5,1,A
Male,9,9,14,6,26,1,3,3,1,A
Male,4,4,3,8,24,1,12,5,1,A
Male,6,5,11,16,44,1,8,4,1,B
Male,14,1,11,8,51,2,6,4,1,B
Male,9,24,15,18,43,3,7,3,2,B
Male,6,8,7,4,33,0,4,4,0,B
Male,1,1,2,2,12,1,1,1,1,B
Female,5,1,4,1,23,1,3,3,0,A
Male,5,2,7,11,48,2,7,3,2,A
Male,15,1,11,7,64,1,10,2,1,A
Male,1,2,7,2,33,1,6,5,1,A
Male,18,6,20,16,91,2,5,5,1,A
Male,14,1,4,6,49,1,2,2,1,B
Male,8,0,2,2,25,1,3,3,1,B
Female,4,0,3,4,23,1,6,2,1,C
Male,5,5,3,10,35,2,5,5,1,A
Male,4,0,2,4,21,1,2,2,1,C
Male,3,0,8,2,21,1,4,2,0,C
Male,7,2,7,4,48,1,4,4,1,A
Male,7,0,14,9,47,2,10,0,1,A
Female,5,1,2,7,37,1,8,5,1,B
Female,10,0,4,5,30,1,5,4,1,B
Female,1,1,4,5,37,1,5,3,1,B
Female,14,0,4,1,30,1,4,4,0,B
Male,35,7,9,4,72,1,6,5,1,B
Male,8,4,9,4,23,1,6,3,0,B
Female,17,9,39,12,96,1,5,5,1,A
Female,9,9,62,25,77,1,11,5,1,B
Male,16,1,26,10,97,1,8,5,1,A
Male,6,0,7,8,26,1,3,2,1,B
Female,9,1,5,12,64,2,4,4,1,A
Male,10,9,34,33,68,2,5,5,1,A
Male,2,1,7,3,39,1,4,3,1,C
Female,14,1,14,5,51,1,4,4,1,A
Female,7,5,4,3,32,1,3,3,1,A
Female,31,5,24,8,106,1,7,4,1,A
Male,15,9,3,6,41,1,10,5,1,A
Female,30,10,29,18,127,1,8,4,1,A
Male,13,6,12,16,29,6,5,5,2,A
Male,11,10,7,7,48,1,6,5,1,B
Male,8,5,7,7,56,1,4,4,1,B
Male,2,1,1,5,26,1,4,3,1,B
Male,35,4,32,14,121,2,8,5,0,A
Male,6,0,6,5,24,1,4,3,1,B
Male,13,2,7,5,56,2,5,5,2,B
Female,18,0,4,5,24,1,1,0,1,B
Female,7,0,4,11,36,1,3,3,1,A
Male,2,0,0,5,20,1,5,5,1,B
Male,0,1,2,3,15,1,5,3,1,C
Male,3,7,11,9,40,1,6,5,1,A
Male,15,0,8,1,49,1,7,4,0,B
Female,12,2,23,3,101,0,5,5,0,A
Male,0,0,2,5,17,1,3,2,1,B
Female,8,2,13,1,37,0,7,3,0,B
Male,25,7,18,7,70,1,4,4,1,A
Male,16,2,11,4,47,1,5,5,0,A
Female,12,3,23,10,73,1,3,3,1,B
Male,9,1,16,3,40,1,4,3,0,B
Male,8,0,3,7,39,1,6,5,1,A
Male,10,2,11,17,53,2,4,3,1,A
Female,8,0,23,9,51,3,5,1,3,B
Female,18,5,23,19,59,3,5,4,3,B
Male,9,2,11,6,52,1,6,4,1,B
Male,11,0,5,12,20,1,2,2,1,B
Female,18,2,12,5,35,2,6,5,2,A
Male,8,2,12,4,45,1,4,4,1,B
Male,9,1,8,7,32,1,1,1,1,B
Male,16,4,21,13,58,1,6,5,1,B
Male,1,0,7,7,30,1,12,5,1,B
Male,5,1,15,9,56,1,5,4,1,A
Male,1,1,3,7,19,1,5,4,1,B
Male,2,0,1,0,15,0,4,4,0,A
Male,10,6,21,8,49,1,9,0,1,A
Male,12,2,37,11,100,1,12,5,1,A
Male,9,2,9,5,34,1,3,3,0,A
Female,9,1,13,10,72,1,5,5,1,A
Male,6,1,8,10,42,2,6,5,1,A
Female,10,1,15,19,49,1,5,4,1,A
Male,9,0,30,29,49,5,6,5,4,A
Female,10,2,8,14,50,1,3,3,1,B
Male,6,7,6,7,25,1,4,3,1,B
Male,17,16,10,12,81,1,6,5,1,B
Male,3,0,3,4,21,1,4,4,1,B
Male,8,1,3,4,35,1,6,5,1,B
Male,1,0,4,6,21,1,2,2,1,B
Male,7,1,5,18,28,1,0,0,1,B
Male,9,8,16,3,83,1,11,4,1,B
Male,11,6,14,8,45,1,8,5,1,A
Female,9,0,5,6,56,1,6,5,1,B
Female,9,1,19,17,61,1,3,3,1,A
Male,2,0,2,3,12,1,2,0,1,C
Female,3,2,1,5,28,1,7,2,1,A
Male,8,0,7,4,37,1,5,3,1,B
Male,7,1,4,4,21,1,11,0,1,B
Male,15,5,19,2,50,1,4,3,0,B
Male,10,1,9,3,18,1,4,4,0,B
Male,22,5,30,13,74,1,6,5,0,B
Male,5,4,24,11,48,1,8,4,1,B
Male,2,13,26,8,81,1,15,5,1,B
Female,10,0,3,5,41,1,11,5,1,A
Male,8,3,14,8,54,2,5,5,2,A
Male,3,6,9,9,43,1,3,2,1,A
Male,2,1,26,13,47,0,7,4,0,A
Male,5,5,10,13,23,3,3,3,1,B
Male,8,4,17,10,45,1,5,5,1,A
Male,4,0,1,3,23,1,5,3,1,B
Male,11,1,16,10,41,1,5,4,0,B
Male,7,0,11,4,28,1,2,2,1,A
Female,14,0,2,5,36,0,7,3,0,B
Male,2,1,3,0,23,0,8,4,0,B
Female,1,0,3,5,26,1,4,1,1,B
Male,7,1,8,14,34,1,4,3,1,A
Male,3,0,2,4,29,1,8,3,1,C
Male,11,2,13,5,21,1,7,0,1,B
Male,8,6,18,8,30,1,2,2,0,B
Female,8,3,6,8,53,1,7,4,1,B
Female,11,0,6,1,33,1,4,4,1,B
Female,18,0,23,8,48,1,3,2,1,A
Male,2,0,3,4,28,1,4,4,1,A
Female,0,0,0,0,4,0,0,0,0,B
Male,10,7,3,3,35,1,5,4,1,B
Male,3,2,12,15,28,1,4,4,1,A
Male,7,0,9,7,35,2,4,3,1,A
Male,16,0,6,6,47,1,6,5,1,B
Male,15,1,5,3,46,0,6,6,0,A
Female,14,2,37,13,69,3,5,5,1,B
Male,12,2,16,3,46,1,5,5,0,A
Male,3,1,1,3,22,1,8,5,1,B
Male,6,5,14,23,45,2,7,5,2,B
Male,15,6,48,38,67,1,6,5,1,A
Male,7,1,5,5,40,1,5,4,1,A
Female,8,1,18,2,41,0,3,3,0,A
Female,7,2,21,12,61,0,3,3,0,A
Male,16,2,18,15,82,2,7,5,1,A
Female,11,0,17,15,53,2,5,5,1,A
Male,3,3,1,2,24,1,3,2,1,C
Male,2,1,6,5,26,1,3,3,1,B
Female,4,0,1,5,27,1,3,3,1,A
Male,11,12,70,78,124,7,6,5,5,A
Male,7,0,1,4,29,1,7,5,1,A
Male,5,1,11,4,30,1,5,0,1,B
Male,1,0,1,0,10,0,5,3,0,B
Male,3,0,6,3,24,1,6,4,1,B
Female,5,0,12,4,32,1,7,5,1,A
Female,9,0,5,5,34,1,4,3,1,A
Male,20,9,84,64,131,1,5,4,1,A
Male,4,7,16,11,34,2,3,2,1,A
Female,4,2,19,11,37,1,4,4,1,A
Female,10,0,1,3,36,1,6,3,1,B
Male,7,4,21,13,51,3,7,5,2,A
Female,7,0,5,6,19,1,4,3,1,B
Male,1,1,1,6,19,2,9,3,1,B
Male,7,0,6,3,41,1,5,4,1,A
Male,10,5,41,9,67,1,3,2,1,B
Male,8,1,2,3,30,0,7,5,0,B
Female,23,3,19,8,164,2,11,5,1,A
Female,5,2,26,26,83,1,7,4,1,B
Female,0,0,7,10,29,3,4,4,1,B
Male,4,3,12,0,33,1,6,2,0,B
Female,6,1,6,8,39,1,2,2,1,A
Male,1,0,3,5,16,1,2,2,1,C
Male,1,0,5,0,22,1,7,5,0,B
Female,12,2,21,10,77,1,5,4,1,B
Male,18,4,25,9,61,1,4,4,1,A
Male,2,1,6,2,28,1,6,5,1,B
Male,7,1,20,17,51,2,5,5,2,A
Female,6,1,15,18,55,3,7,5,2,A
Male,9,0,0,0,31,0,5,5,0,A
Female,20,1,6,7,55,1,9,4,1,C
Male,6,2,23,10,58,2,6,4,1,A
Female,6,2,13,20,43,5,11,4,3,B
Female,7,0,2,5,46,1,2,2,1,A
Male,6,3,13,7,41,1,5,5,1,B
Female,3,0,1,3,20,1,5,4,1,A
Male,17,6,62,33,117,1,7,4,1,A
Male,19,2,29,8,59,1,3,2,0,B
Female,14,1,6,8,42,1,2,2,1,B
Male,21,11,68,56,151,3,9,3,3,A
Male,9,0,7,5,38,1,4,4,1,B
Male,30,9,33,11,89,1,9,5,1,B
Male,9,0,4,4,45,1,5,5,1,A
Male,7,1,4,5,29,1,5,5,1,A
Male,5,1,5,4,20,1,8,2,1,C
Male,4,0,0,3,17,1,8,3,1,A
Male,8,3,8,8,28,1,3,3,1,A
Male,7,1,3,3,56,1,5,5,1,A
Female,5,0,5,3,28,1,2,2,1,A
Male,4,0,1,2,21,1,3,3,1,A
Male,9,1,5,8,34,1,5,4,1,B
Male,4,2,7,6,43,2,6,5,2,A
Male,14,12,32,23,102,3,11,5,2,A
Male,17,1,10,5,63,0,7,5,0,A
Male,16,4,9,12,45,1,5,4,1,A
Male,4,0,3,1,29,0,5,5,0,A
Male,10,7,10,6,57,2,11,0,1,A
Male,8,0,2,4,22,1,3,3,1,A
Male,4,0,6,5,17,1,3,3,0,B
Male,3,0,5,4,42,1,5,5,1,B
Male,14,9,16,18,83,5,8,5,3,A
Male,5,11,20,12,85,2,4,4,1,A
Male,3,0,2,5,22,1,3,3,1,A
Male,11,2,8,6,45,1,4,4,1,A
Male,1,5,2,3,41,1,6,5,1,A
Male,10,0,32,18,64,1,5,5,1,A
Male,13,1,5,11,49,3,3,3,3,B
Male,0,0,12,9,25,1,4,4,1,A
Male,19,0,31,6,88,1,4,3,1,B
Male,3,1,0,7,15,1,5,3,1,B
Male,10,3,3,4,38,1,4,4,1,B
Male,8,0,14,3,79,1,8,5,1,B
Male,9,2,26,18,62,1,11,5,1,A
Male,17,0,5,1,42,1,5,4,0,B
Male,11,3,0,1,28,0,2,2,0,A
Male,11,1,50,17,67,1,6,5,1,A
Male,14,1,13,7,61,2,5,5,1,A
Male,1,0,1,2,9,1,4,2,1,B
Male,6,7,12,18,57,2,8,3,1,A
Male,3,0,6,8,47,1,16,5,1,B
Male,3,0,5,3,20,1,6,5,1,B
Male,11,0,12,6,22,1,4,3,1,B
Female,12,1,45,23,102,2,5,4,2,A
Male,12,2,8,5,32,1,7,3,1,A
Male,11,4,17,13,56,1,4,3,1,A
Male,7,1,16,9,36,1,3,3,1,A
Male,1,2,3,2,15,1,5,4,1,B
Female,11,3,14,14,57,1,5,4,1,A
Male,9,0,12,6,50,1,5,4,1,B
Male,6,0,0,4,17,1,5,5,1,B
Male,15,1,9,0,55,1,2,1,0,A
Male,4,1,3,7,33,2,4,3,2,B
Male,7,4,6,7,27,1,17,5,1,B
Male,6,0,6,4,27,1,3,3,1,B
Male,5,5,4,8,27,1,4,3,1,A
Male,21,0,11,1,54,1,6,3,1,B
Male,3,3,6,4,23,1,3,3,1,A
Male,14,3,32,22,65,2,5,5,2,A
Male,8,0,7,5,47,1,7,5,1,B
Male,12,4,6,6,32,2,5,3,2,A
Male,5,1,9,6,49,3,4,2,1,A
Male,10,2,0,6,39,1,6,5,1,A
Male,4,1,10,17,28,5,3,3,4,B
Male,1,0,15,7,35,1,3,3,0,A
Male,3,1,1,7,25,1,4,4,1,B
Female,20,3,37,23,78,1,4,3,1,A
Male,15,1,9,5,35,1,17,1,1,B
Male,10,0,1,4,50,1,7,6,1,B
Female,11,3,5,12,32,1,7,4,1,B
Male,7,10,24,19,73,2,8,5,1,A
Male,10,1,3,5,29,0,6,3,0,A
Male,7,6,7,8,42,1,7,5,1,A
Male,5,4,1,12,30,3,3,3,3,B
Male,2,4,5,13,21,1,3,2,1,B
